Year,Date,Block,Sub_Plot,Treatment,ID,Group,Type,Species,Coverage
1,2022-10-17,1,1,W,1-1-W,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,1,W,1-1-W,Grass,Aristida beyrichiana,Aristida beyrichiana,0
1,2022-10-17,1,1,W,1-1-W,Grass,Pasture Grass,Cynodon dactylon,9
1,2022-10-17,1,1,W,1-1-W,Sedge,Ruderal Graminoid,Cyperus spp.,2
1,2022-10-17,1,1,W,1-1-W,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,1,W,1-1-W,Forb,Ruderal Forb,Dichondra spp.,2
1,2022-10-17,1,1,W,1-1-W,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,1,W,1-1-W,Forb,Ruderal Forb,Lactuca canadensis,2
1,2022-10-17,1,1,W,1-1-W,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,1,W,1-1-W,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,1,W,1-1-W,Grass,Pasture Grass,Paspalum notatum,4
1,2022-10-17,1,1,W,1-1-W,Forb,Obligate Forb,Pityopsis trayci,6
1,2022-10-17,1,1,W,1-1-W,Forb,Ruderal Forb,Richardia spp.,0
1,2022-10-17,1,1,W,1-1-W,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,2,C,1-2-C,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,2,C,1-2-C,Grass,Pasture Grass,Cynodon dactylon,9
1,2022-10-17,1,2,C,1-2-C,Sedge,Ruderal Graminoid,Cyperus spp.,1
1,2022-10-17,1,2,C,1-2-C,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,2,C,1-2-C,Forb,Ruderal Forb,Dichondra spp.,2
1,2022-10-17,1,2,C,1-2-C,Grass,Eragrostis spectabilis,Eragrostis spectabilis,0
1,2022-10-17,1,2,C,1-2-C,Forb,Ruderal Forb,Lactuca canadensis,2
1,2022-10-17,1,2,C,1-2-C,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,2,C,1-2-C,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,2,C,1-2-C,Grass,Pasture Grass,Paspalum notatum,3
1,2022-10-17,1,2,C,1-2-C,Forb,Obligate Forb,Pityopsis trayci,0
1,2022-10-17,1,2,C,1-2-C,Forb,Ruderal Forb,Richardia spp.,0
1,2022-10-17,1,2,C,1-2-C,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,3,LM,1-3-LM,Grass,Andropogon virginicus,Andropogon virginicus,0
1,2022-10-17,1,3,LM,1-3-LM,Grass,Pasture Grass,Cynodon dactylon,8
1,2022-10-17,1,3,LM,1-3-LM,Sedge,Ruderal Graminoid,Cyperus spp.,2
1,2022-10-17,1,3,LM,1-3-LM,Forb,Obligate Forb,Dalea pinnata,0
1,2022-10-17,1,3,LM,1-3-LM,Forb,Ruderal Forb,Dichondra spp.,1
1,2022-10-17,1,3,LM,1-3-LM,Grass,Eragrostis spectabilis,Eragrostis spectabilis,5
1,2022-10-17,1,3,LM,1-3-LM,Forb,Ruderal Forb,Lactuca canadensis,2
1,2022-10-17,1,3,LM,1-3-LM,Forb,Obligate Forb,Liatris gracilis,0
1,2022-10-17,1,3,LM,1-3-LM,Forb,Ruderal Forb,Oxalis corniculata,2
1,2022-10-17,1,3,LM,1-3-LM,Grass,Pasture Grass,Paspalum notatum,2
1,2022-10-17,1,3,LM,1-3-LM,Forb,Obligate Forb,Pityopsis trayci,7
1,2022-10-17,1,3,LM,1-3-LM,Forb,Ruderal Forb,Richardia spp.,0
1,2022-10-17,1,3,LM,1-3-LM,Grass,Obligate Graminoid,Sorghastrum secundum,0
1,2022-10-17,1,4,BM,1-4-BM,Grass,Andropogon virginicus,Andropogon virginicus,4
1,2022-10-17,1,4,BM,1-4-BM,Grass,Pasture Grass,Cynodon dactylon,8
1,2022-10-17,1,4,BM,1-4-BM,Sedge,Ruderal Graminoid,Cyperus spp.,3
1,2022-10-17,1,4,BM,1-4-BM,Forb,Obligate Forb,Dalea pinnata,2
