Species,Weight 1,Weight 2,Weight 3,Average Weight Per 100 Seeds,Weight 300,Weight 2000,Germ 1,Germ 2,Germ 3,Germ 4,Germ 5,Average Germ Rate,Seeding Amount for Medium Ratio,Seeding Weight for Medium Ratio,Seeding Amount for High Ratio,Seeding Weight for High Ratio
Aristida beyrichiana,0.09,0.08,0.10,0.09,0.26,1.74,0.25,0.25,0.30,0.15,0.15,0.22,1363.64,1.19,9090.91,7.91
Andropogon ternarius,0.25,0.22,0.24,0.24,0.71,4.72,0.30,0.35,0.30,0.50,0.30,0.35,857.14,2.02,.,.
Andropogon virginicus	,0.05,0.07,0.08,0.07,0.20,1.33,0.79,0.55,0.90,0.92,0.65,0.79,380.23,0.25,2534.85,1.69
Carphephorus corymbosus,0.16,0.15,0.17,0.16,0.47,3.15,0.20,0.25,0.25,0.15,0.20,0.21,1428.57,2.25,.,.
Ctenium flroidanum,0.05,0.03,0.02,0.03,0.10,0.67,0.39,0.45,0.29,0.41,0.45,0.40,753.77,0.25,.,.
Dalea pinnata,0.01,0.02,0.02,0.02,0.05,0.33,0.12,0.15,0.14,0.05,0.08,0.11,2777.78,0.46,.,.
Eragrostis spectabilis,0.04,0.02,0.03,0.03,0.08,0.55,0.80,0.85,0.40,0.80,0.60,0.69,434.78,0.12,2898.55,0.80
Liatris gracilis,0.12,0.13,0.13,0.13,0.38,2.55,0.50,0.35,0.55,0.60,0.55,0.51,588.24,0.75,.,.
Pityopsis graminifolia,0.01,0.12,0.10,0.08,0.23,1.50,0.30,0.70,0.60,0.45,0.40,0.49,612.24,0.46,.,.
Schizachyrium stoloniferum,0.17,0.19,0.19,0.18,0.55,3.67,0.85,0.79,0.89,0.84,0.74,0.82,364.96,0.67,.,.
Sorgastrum secundum,0.36,0.42,0.38,0.39,1.16,7.74,0.50,0.55,0.55,0.60,0.45,0.53,566.04,2.19,.,.
Eulophia ecristata,.,.,.,.,.,5mg,.,.,.,.,.,.,2000,.,.,.
