"","NMDS1","NMDS2","envfit_result$vectors$pvals"
"Andropogon ternarius",0.74599920834783,-0.665946830568635,0.307
"Andropogon virginicus",-0.19311068812076,-0.98117697798793,0.388
"Aristida beyrichiana",0,0,1
"Bareground",0.440440433546819,0.897781835691216,0.23
"Bidens alba",0,0,1
"Cynodon dactylon",-0.893347421981495,0.449366647225867,0.001
"Cyperus spp.",-0.781911434108171,0.623389532484227,0.004
"Dalea pinnata",0.990589233254056,-0.136868443993277,0.424
"Dichondra spp.",-0.600544288603331,0.799591494093027,0.286
"Eragrostis spectabilis",0.52792688738321,0.849289821897022,0.001
"Erigeron canadensis",-0.678362439280114,-0.734727433116482,0.038
"Galactia spp.",0.640249454869795,0.76816706225855,0.138
"Gamochaeta spp.",-0.919164619640254,0.39387358632128,0.768
"Indigofera hirsuta",-0.0504398539878505,-0.998727100428182,0.541
"Lactuca canadensis",0.588064128473202,0.808814305513356,0.209
"Liatris gracilis",0.58565265353674,-0.810562131736596,0.046
"Oenothera laciniata",0.242695139457527,0.970102607605861,0.278
"Oxalis corniculata",-0.781862955514091,0.623450333863709,0.176
"Paspalum notatum",-0.504088956009864,-0.863651737929639,0.001
"Paspalum setaceum",-0.919164619640255,0.393873586321279,0.768
"Pityopsis trayci",0.783701936266039,-0.621137082368185,0.001
"Quercus hemisphaerica",0.202660183105289,0.979249125699753,0.025
"Richardia spp.",-0.489227824389488,0.872156027235453,0.018
"Rumex hastatulus",0,0,1
"Solanum viarum
",0.755470732786284,0.655182395904649,0.571
"Sorghastrum secundum",0.842390154484038,0.538868098543937,0.001
